385 65 99999 0		
5332	1525	0
5166	1480	3
5403	1631	7
5030	1372	7
5469	1830	15
5495	1832	1
5394	1844	23
5403	1868	5
5415	1875	3
5426	1876	3
5440	1885	2
5451	1891	6
5457	1926	1
5365	1877	1
5350	1843	1
5322	1844	2
5342	1861	1
5325	1869	4
5302	1823	8
5284	1862	42
5382	1890	1
5385	1886	1
5376	1887	3
5372	1896	1
5374	1873	1
5377	1863	2
5372	1845	3
5365	1832	4
5365	1822	5
5355	1865	1
5401	1893	1
5456	1933	3
5614	1855	14
5636	1867	13
5610	1913	6
5592	1934	2
5644	1923	2
5694	1892	2
5709	1917	1
5697	1919	24
5725	1953	5
5657	1948	2
5673	1965	2
5683	1971	4
5674	1973	1
5712	1992	1
5651	1974	1
5663	1989	1
5680	2006	6
5114	1669	7
5143	1670	10
5176	1590	2
5222	1620	1
5224	1592	6
5232	1587	1
5214	1635	7
5234	1641	3
5211	1666	3
5190	1739	31
5217	1759	8
5249	1770	2
5254	1761	1
5281	1778	1
5278	1783	1
5301	1784	3
5306	1792	4
5333	1799	3
5342	1796	1
5337	1816	3
5288	1762	3
5306	1748	45
5291	1746	2
5282	1730	1
5264	1739	1
5264	1718	2
5253	1718	4
5240	1730	1
5242	1716	2
5198	1714	4
5225	1689	1
5245	1668	2
5263	1661	1
5259	1632	2
5242	1624	1
5252	1605	2
5245	1583	2
5265	1583	3
5287	1595	4
5271	1614	2
5286	1629	19
5277	1651	1
5310	1588	10
5319	1588	3
5330	1605	6
5360	1595	28
5343	1616	3
5329	1617	2
5355	1636	2
5340	1644	2
5310	1612	12
5302	1629	21
5317	1636	5
5301	1672	7
5270	1678	1
5291	1678	14
5289	1687	7
5296	1718	5
5331	1709	4
5334	1727	20
5357	1749	2
5344	1755	1
5365	1771	2
5379	1773	1
5387	1778	1
5401	1775	1
5411	1790	4
5426	1801	1
5433	1813	1
5391	1811	42
5365	1806	2
5362	1811	4
5388	1740	5
5358	1727	3
5360	1704	2
5301	1688	1
5340	1659	4
5359	1654	4
5384	1658	33
5374	1626	5
5351	1670	1
5360	1678	4
5388	1635	1
5367	1612	7
5387	1676	6
5406	1653	4
5412	1673	1
5388	1610	4
5376	1603	8
5385	1593	17
5417	1613	12
5420	1642	4
5430	1676	1
5435	1666	2
5437	1682	1
5422	1696	3
5394	1708	5
5411	1762	1
5432	1787	3
5436	1768	1
5422	1749	2
5428	1739	1
5415	1724	3
5429	1716	1
5441	1714	7
5443	1751	1
5448	1774	3
5456	1777	1
5472	1790	1
5485	1818	1
5494	1808	2
5488	1802	1
5478	1775	1
5466	1761	1
5466	1753	1
5463	1740	1
5477	1726	4
5451	1735	2
5461	1711	3
5450	1703	1
5475	1679	1
5456	1664	1
5445	1665	1
5466	1673	2
5436	1640	2
5455	1647	2
5480	1657	2
5492	1669	1
5494	1662	1
5490	1636	4
5473	1626	3
5467	1621	4
5466	1593	2
5488	1608	9
5492	1619	6
5473	1582	5
5498	1585	6
5498	1598	2
5184	1614	6
5300	1647	1
5515	1581	1
5504	1632	3
5502	1721	1
5502	1746	1
5518	1675	1
5511	1688	43
5519	1729	1
5512	1736	1
5519	1778	3
5513	1804	1
5520	1708	1
5531	1754	1
5526	1793	2
5531	1580	10
5537	1696	1
5542	1733	21
5549	1703	1
5550	1722	2
5544	1752	1
5551	1585	1
5552	1691	1
5560	1714	1
5574	1723	1
5575	1732	2
5572	1755	2
5576	1770	2
5587	1743	1
5575	1791	11
5599	1777	1
5605	1762	1
5609	1804	2
5616	1779	1
5033	1340	7
5050	1348	17
5020	1365	5
5009	1375	6
5040	1368	1
5052	1374	7
5078	1376	35
5077	1387	24
5050	1386	3
5040	1387	2
5028	1396	7
5031	1405	9
5016	1447	13
5051	1412	8
5049	1427	7
5073	1405	6
5077	1421	3
5062	1434	13
5085	1440	12
5086	1427	5
5095	1419	4
5122	1427	3
5103	1445	3
5109	1447	2
5118	1452	4
5129	1437	2
5122	1458	7
5093	1468	3
5057	1460	13
5073	1466	6
5085	1492	2
5076	1481	7
5136	1467	1
5139	1496	4
5133	1503	1
5094	1500	3
5132	1515	14
5150	1520	2
5155	1458	38
5176	1468	9
5199	1472	4
5223	1472	5
5218	1489	14
5196	1499	23
5176	1502	2
5180	1484	5
5491	1481	18
5496	1501	21
5458	1544	28
5470	1490	3
5459	1494	2
5454	1489	18
5445	1495	17
5438	1496	4
5247	1483	36
5242	1508	4
5208	1506	6
5217	1523	8
5193	1512	3
5152	1546	14
5185	1564	3
